head,rel,tail
school school,attribute,private private
title,related to,country
are,related to,name
title,related to,school school
name,attend,title
title,related to,##ps
what,related to,thetitle
thetitle,was,title
percentage,related to,bey
##ap,related to,name
schools schools,related to,schools
name,related to,schools
students,related to,schools
end,related to,schoolq
translation,related to,title
name school,related to,title
school,related to,tuition
tuition,related to,end
end,related to,establishment clause
amendment,related to,establishment clause
title,related to,amendment
amendment,related to,title
constitution,related to,title
##l,related to,title
end,related to,establishment
kingdom,related to,title
difference name,related to,title
title,related to,difference name
song,related to,title
title,related to,single
title,related to,charter
charter,related to,name
a a,related to,difference
funding,related to,tuition
subject,attribute,subject
background background,related to,thetitle
background,related to,course content
subject,related to,course content
end,related to,whattitle
background,related to,body
funding,related to,background
background,related to,state
background,activity,states
title,activity,states
background,related to,course
background,related to,court
' s,related to,background
title,related to,case
000q,related to,text
end,related to,000q
title,related to,##on
background,know know,title
title,related to,bijj
title,related to,bij
title,related to,##jn
title,related to,cost
title,related to,boarding boarding
name,related to,was
title,activity,does
title,related to,boarding
students,are,title
world,related to,name
name,was,title
type institution,related to,boarding school
school,related to,boarding school
title,related to,campus
end,related to,cost
boarding,related to,cost
school,related to,cost
students,related to,boarding school
students,related to,school
percentage,attribute,much
school,related to,year
average,attribute,average
average,activity,have
average,related to,text
students,did,background
students,are,background
background,related to,school students
background,related to,gro
background,related to,mission
background,related to,room
background,related to,end
name,related to,museums
scholars,attribute,largest
name,related to,museum
university,related to,school
mascot,related to,school
name,related to,campus
name,related to,library
university,related to,background
background,are,name
museums,related to,background
name,are,name
museum,related to,name
background,related to,library
background,related to,museums
museum,related to,background
background,related to,museum
background,related to,alumni alumni
background,related to,alumni
background,related to,school alumni
background,related to,laureateate
laureates,related to,school alumni
background,related to,laureates
presidents,related to,laureates
background,related to,presidents
cost presidents,related to,laureates
scholars,related to,background
background,related to,scholars
bon,related to,title
title,related to,bon
major,related to,title
title,related to,major
name,are,title
title,related to,football
name,known,title
end,related to,university
university,related to,text
students,name,university
title,related to,school name
first,attribute,largest
title,related to,mascot
title,related to,end
title,related to,total
title,related to,budget
faculties,related to,title
title,related to,faculties
nickname,related to,name
title,related to,nickname
mascot,related to,name
for,related to,name
riverq,related to,text
text,related to,riverq
campus,related to,school
building,related to,school
title,related to,building
end,related to,crimson
b201,related to,title
title,related to,b201
##tate,related to,title
##ton,related to,##tate
title,related to,##ton
title,related to,resses
country,related to,title
title,related to,department
school,located,title
yard,related to,campus
##title,related to,campus
end,related to,campus
title,related to,sports
##ce,related to,title
title,related to,##ce
title,related to,president
title,was,school
end,related to,president
##pres,related to,backgroundong
title,related to,##pres
resses,related to,backgroundong
res,related to,background
title,related to,res
ist,related to,text
ministers,related to,churches
title,was,was
purpose,related to,name
background,activity,begin
year,activity,become
end,related to,background3
background,rejected,background
titleqq,related to,titletitle
##g,related to,title
##q,did,background
background,related to,what
background,related to,whoq
background,related to,governor
wasq,related to,background
background,related to,wasq
butchering,attribute,kosher
court,related to,translation
treasure,related to,translation
burg,related to,translation
treasure,attribute,golden
end,related to,treasure
##q,related to,translation
##h,related to,name
##q,related to,river
court burg at,related to,translation
worm,related to,court
courta,related to,translation
court,related to,courta
burg,related to,courta
##rga,related to,courta
burga,related to,courta
burg,related to,burga
##rg,attribute,bu
court,attribute,##undy
court,related to,burga
century century,related to,text
century,related to,text
century,related to,titletitle
century,related to,title
##rg,related to,translation
tribe,related to,translation
crossing,related to,translation
stitle,related to,courta
q court,related to,courta
background,is was,background
background,activity,did is
background,activity,sie
background,related to,hero
hero,related to,background
whattitle,was,background
background,related to,where
background,related to,story
background,activity,happened
text,was,background
h h,related to,background
background,related to,h h
tale,related to,title
##h,related to,title
river,related to,title
river,related to,##m
end,activity,fall
reason,related to,name
leave,related to,treaty
end,activity,end
treaty,end,year
whenq,related to,background
year,related to,whattitle
end,related to,river
wall,related to,thetitle
backgroundback,related to,title
background,related to,war
background,related to,film
operation,related to,title
title,related to,operation
title name,related to,title
name,related to,##h
end,related to,##m
bridge,related to,title
title,related to,bridge
title,related to,hunger
name name,activity,was
name,considered,bridge
film,related to,name
title,related to,film
end,related to,bridge
bridge,related to,text
titleq,related to,bridge
bridge bridge,related to,name
bridge,related to,name
##m,related to,bridge
operation a,related to,bridge
name,related to,bridge
title,related to,##in
end,related to,days
days,related to,text
title,related to,days
days,related to,title
hunger,related to,title
days,related to,name
text,related to,##it
name,related to,war
end,related to,operation
end,related to,market
war,related to,text
officer,activity,presiding
text,presiding,officer
officer,attribute,presiding
##p,presiding,officer
msps,presiding,officer
##ps,presiding,officer
ballot,related to,title
ballot,presiding,officer
end,related to,tr tr
b6un,related to,title
title,related to,b6un
session,related to,title
title,related to,session
title,related to,parliament
title,related to,##th
secret,attribute,secret
ballot,attribute,secret
role,related to,title
parliament,related to,role
pre,related to,role
body,related to,pre
cler body,related to,role
presidingks,related to,role
role,presiding,officerq
role,presiding,officer
officer,related to,role
deputies,related to,officer
his,related to,officer
chairq,related to,officer
chair parliament,related to,officer
chair,related to,officer
officer,chair,chamber
officer,chair,chamber proceedings
role,related to,body
purpose,related to,body
##q,related to,body
are,are,title
title,related to,members
title,related to,his
title,related to,proceedings
vote clerk,related to,text
titletitle,related to,vote clerk
vote clerk,related to,titletitle
vote clerk,related to,title
vote clerk,related to,##q
type,related to,vote clerk
vote clerk,related to,name
role,related to,vote clerk
purpose,related to,role
vote clerk,related to,vote
pres,attribute,electronic
voteq,related to,chamber clocks
vote clerk,related to,chamber clocks
end,related to,vote clerk
parliament,related to,vote clerk
the,related to,government
end,related to,committee
committee,related to,committees
committees,related to,text
committees,related to,committee
committee,related to,group
committees,attribute,current
parliament parliament,related to,parties
parliament,related to,parties
committees,attribute,scottish
end,related to,parliament
committees,attribute,different
functions,set,ways
ways,attribute,different
function,related to,title
committees,related to,title
functions,related to,committees
committee,related to,text
title,related to,committee
committee,related to,title
committee,related to,the
national,attribute,national
football,attribute,american professional professional
football,attribute,american
franchise football,related to,football
franchise football,attribute,american
football team football franchise,attribute,american
football team team,attribute,american
football team team,based,area
title,related to,current
title,related to,committees
title,related to,set
stages,related to,number
end,related to,stages
number,related to,text
number,related to,title
titletitle,related to,stages
number,related to,ofq
billsq,related to,ways
bills,related to,ways
end,related to,bills
titletitle,related to,bills
q bills,related to,bills
title bills,related to,bills
bills,introduce,laws
laws,attribute,new
member,related to,bill
bill,related to,member
bill,related to,parliament
bill,related to,text
member,attribute,private
bill,related to,private
end,related to,member
member,related to,title
bill,attribute,private
##it,related to,background
bill,related to,titletitle
bill,related to,title
stage,related to,life
stage,related to,parliament
##ana,attribute,expl
year year,related to,title
sixth,related to,text
sixth,attribute,upper
sixth,related to,school
titletitle,related to,sixth
sixth,related to,titletitle
end,related to,sixth
title,related to,sixth
sixth,related to,title
schools,related to,salaries
whattitle,related to,text
denomination,related to,text
background,activity,operates
background,related to,past
name,located,end
article,related to,title
republic,related to,background
republic,attribute,federal
title,is did,title
schools,attribute,german
students,attribute,german
students,attend,title
students,attended,high
high,attribute,private public
students,attended,schools schools
titletitle,related to,##q
percent,related to,percentage
title,related to,percent
percentage,related to,titletitle
background,activity,was was
background,used,scientists
##ologists,related to,background
background,related to,##ologists
##ologists,study,background
##ologists,study,study
past,attribute,numerical
##ologists,use,background
##ologists,investigate,background
background,related to,life
scientists,related to,background
soils,related to,background
background,related to,soils
river,related to,background
study,related to,background
background,related to,use
background,related to,##ogist
background,investigate,background
intitletitle,related to,background
background,related to,intitletitle
##q,are are,background
whatq,related to,background
##q,related to,rock
titletitle,related to,the
process,attribute,first
stable,related to,title
use,related to,title
name pet,related to,title
section,related to,name
method,related to,name
sections,attribute,thin
graph,related to,text
primary,related to,title
primary,related to,name
geologists,related to,type
structure,attribute,crystalline
structure,activity,combine
combineq,related to,plot
area,related to,rock deformation
rocks,related to,type
##q,attribute,numerical
end,related to,settingsq
title,related to,kind
title,related to,section
end,related to,area
title,related to,settings
settings,attribute,large large
kind,attribute,what
settings,related to,rocks
information,related to,title
they,related to,title
experiments,attribute,numerical
text,related to,inq
background,activity,observe
experimentsologists,plot,plot
kind kind,related to,background
background,related to,kind kind
name,attribute,full
non,related to,government
##er,related to,name
status,attribute,annual
education report,related to,status
report,related to,name
titletitle,related to,government
the,activity,increasing
government,related to,background
background,related to,nametitle
report,related to,background
background,related to,report
organization,related to,background
background,related to,organization
background,related to,annual
background,related to,status
##q,related to,population
title,related to,' s
title,related to,decade
title,related to,##9
title,related to,1980s
period period,related to,1980s
title,related to,period period
decade,related to,1980s
decade decade,related to,1980s
prosperity,related to,decade
title,related to,prosperity
growth,related to,decade
title,related to,growth
advantages,related to,title
language,used used,title
language,used,name
language,used,title
language,used,medium
language,used,national
language,used,secondary
language,used,secondary schools
years,related to,language
language,used,schools
language,used,primary schools
primary schools,attribute,chinese
national,attribute,chinese primary
language,used,primary
primary,attribute,chinese primary
language,used,medium schools schools
language,used,medium schools
title,related to,which
title,related to,language language
type,attribute,national
schools,related to,type
type schools,related to,text
type schools,attribute,national
type schools,related to,title
b g g,related to,title
type schools,related to,system
a was,related to,title
government,attribute,national
title,related to,national
titletitle,related to,type
language language,related to,type
name,related to,type
language,related to,type
type,related to,independence government school system
background,related to,medium
type medium,attribute,national national
language,became,type schools
people,activity,happened
language,used,school primary
religion,related to,background
end,related to,7title
schools,attended existed,background
students,attribute,many private
decline,related to,text
background,are,end
capital,related to,war
war,related to,capital
capitals,related to,war
world,related to,title
war,related to,rule
##q,related to,days
days,related to,##q
t el,activity,was
name,become,name
name,known,name
name,related to,a a
title,activity,die
background,related to,days
background,activity,took
background,activity,thought
title,activity,have
background,activity,killed
the,activity,took
throne,activity,took
emperor,activity,die
name,activity,die
emperor,activity,became
years,related to,text
end,related to,years
background,related to,firstq
background,related to,dynasty
country,related to,text
country,related to,name
end,related to,population
army,related to,text
population,related to,text
army,related to,title
people,related to,background
people,related to,text
people,related to,title
end,related to,dynasty
west,attribute,extensive
contacts,attribute,european
contacts contacts,attribute,european
contacts,related to,text
peoples,related to,cultures
dynasty,related to,government
government,related to,influence
dynasty,related to,title
varieties,attribute,new
lemons,related to,varieties
exchange,attribute,cultural
mong,attribute,chinese
title,related to,##s
##s,related to,title
administration,related to,title
title,related to,administration
government,activity,was
administration,activity,was
administration,activity,differ
secret,attribute,central
##q,related to,offices
was,activity,was
##g,related to,##ols
##q,related to,##g
##g,related to,text
titletitle,related to,titleq
kub,activity,was did
people,activity,had
harvest,related to,income
harvests,related to,income
tenants,related to,harvests
tenants,attribute,chinese
income,related to,text
year,did,name
the,related to,year
end,related to,background0
painting,related to,call call
painting,attribute,chinese
poetry,related to,painting
painting,related to,poetry
painting,related to,theater
calligraphy,related to,poetry
painting,related to,title
##by,related to,background
type,related to,##q
##q,related to,type
thetitle,related to,book
jade,related to,book
title,related to,jade
titleq,related to,book
title,related to,how
battle,attribute,what
title,related to,pages
title,related to,work
title,related to,mathematics
matrix,related to,text
algebra,related to,text
zhu,related to,title
math,advanced,algebra
title,related to,unknown
era,related to,title
title,activity,was is
title,related to,zhu
type,activity,die
background,activity,promoted
background,activity,die
background,related to,math
background,activity,did did
background,related to,season
g g,related to,background
background,related to,g g
background in,related to,background
##tle,related to,who
##g,related to,##tle
wall wall,attribute,great
wall wall,related to,background
fortifications,built,title
title,related to,fortifications
title,related to,were
remedies,attribute,herbal
remedies remedies,attribute,herbal
remedies,related to,text
end,related to,medicineq
remedies,related to,title
the,related to,##tle
cures,attribute,spiritual
medicine,related to,type
scholar,related to,text
end,related to,##title
medicine,related to,title
title,related to,medicine
income,related to,title
income,related to,education
text,related to,##itle
physicians,attribute,chinese
medicine,related to,physicians
campaigns,activity,brought
campaigns,attribute,military
medicine,attribute,chinese
medicine,spread,physicians
medicine,spread,background
##q,activity,were
background,related to,medicine
background,were,background
##title,attribute,military
did,related to,background
background,related to,did
medicine,related to,background
background,related to,ion
system system,related to,background
title,related to,system system
fort fortificationification,related to,series
title,related to,fort fortificationification
fortificationsifications,related to,series
title,related to,fortificationsifications
fortifications,built built,title
title,related to,part
title,related to,physician
title,related to,philosophy translation
emperor,related to,name
title,related to,philosophy
medicine,related to,philosophy
yin,related to,philosophy
title,related to,yin
westerntitle,related to,philosophy
title,related to,westerntitle
medicine,attribute,traditional chinese
medicineang,related to,philosophy
medicineang,attribute,traditional chinese
title,were,title
office,related to,title
title,related to,office
3qq,related to,titletitle
title,related to,3qq
was,was,battle
physician,related to,yang
philosophy,related to,yang
medicine,attribute,traditional
##q medicine,related to,philosophy
##q medicine,attribute,chinese
##q,related to,philosophy
title,related to,canon
end,related to,system
theory,related to,text
president,related to,year
year,become,title
presidency,activity,appointed
year,appointed,presidency
wastitletitle,related to,background
background,related to,wastitletitle
background,happened,background
titleq,were,title
title,related to,bang
theory theory,related to,background
theory,related to,the
title,related to,television
title,activity,created
pathogens,related to,text
process process,related to,title
background,related to,macrophph
macrophages,related to,background
background,related to,percentage percentage
ph ph,related to,type
background,related to,ph ph
background,related to,phagocyteocyte
background,related to,phagagocytesocytes
end,related to,backgroundages
macro,related to,background
background,related to,macro
process,related to,background
background,related to,process macro
background,related to,which
backgroundages,related to,text
background,related to,process type
type kind,related to,background
background,related to,type kind
background,related to,humans
cell,related to,background
end,related to,##te
imm,related to,title
##3,related to,title
the,related to,immune system
complex,related to,immune system
network,related to,complex
cells,related to,defense
organs,work,body
cells,related to,text
cells,attribute,innate
titletitle,related to,cells
cells,related to,titletitle
name ph,related to,title
cells,related to,name ph
cells,related to,mast
line,related to,title
cells,related to,inn
cells,related to,immune system
line,attribute,first
cells,related to,infection
immune system,attribute,adaptive
titletitle,related to,immune system
branch,related to,title
cells,related to,response
pell,related to,title
total,related to,title
total,attribute,total
end,related to,students
pell,related to,total
title,related to,pell
title,related to,grant
endowment,related to,title
title,related to,endowment
title,related to,reserve
title,related to,reserves
title,related to,student
title,related to,##owment
end,activity,donate
background,activity,donate
charity,activity,donate
background,donate,charity
background,donate,background
background,was,name
background,activity,is did
complex,related to,text
background,related to,charity
state,activity,located
end,related to,year
rival,related to,year
name competitor,attribute,primary
rival,attribute,primary
men,related to,rival
hockey,related to,rival
rival,related to,title
year,did,year
background,related to,teams
whotitle,related to,background
background,related to,whotitle
background,related to,sport
name,does,background
background,related to,reg
fencing,related to,men
men,related to,men men
men,related to,title
women,related to,men
men,related to,women
fencing,related to,women
men,related to,fencing
end,related to,fencing
rival,related to,year name
year name,win,men
year year,related to,background
name,related to,state
title,related to,debut
background,know,title
president,activity,went
president,went,president
end,activity,went
president,related to,text
title,activity,went
leader,related to,title
title,related to,leader
title,related to,army
emperor,related to,army
end,related to,army
were,related to,title
name commander,related to,title
army,related to,name
was,activity,did
mong,activity,were
status status,attribute,unexpected
status,attribute,unexpected
class,attribute,social
end,related to,privilege
classes,attribute,social
classes,activity,called
title,activity,standing
background,activity,lived
class,activity,thought
ground,related to,text
background,related to,ground
background,activity,did was
background,thought,background
background,activity,considered
title,ranked,title
title,activity,ranked
part,activity,ranked
blood,related to,system
agents,related to,system
immunity,related to,hum
immunity,related to,text
immunity,related to,title
end,related to,immunity immunity
immunity,related to,titletitle
immunity,related to,a a
immunity,related to,blood
immunity,related to,agents
immunity,related to,blood blood
brainbrain,related to,blood
immunity,related to,brainbrain
brain,related to,blood
immunity,related to,brain
brain barrier barrier,related to,blood
immunity,related to,brain barrier barrier
brain barrier,related to,blood
immunity,related to,brain barrier
barrier barrier,related to,brain barrier
immunity,related to,barrier barrier
blood blood,related to,brain barrier
blood – cc,related to,brain barrier
immunity,related to,blood – cc
blood,related to,brain barrier
barrier,related to,blood
##sp,related to,blood
##sp,attribute,##bro
immunity,related to,##sp
barrier barrier,related to,##sp
barrier barrier,attribute,##inalinal
fluid barrier,related to,##sp
fluid barrier,attribute,##inal
immunity,related to,fluid barrier
fluid fluid,related to,blood
fluid fluid,attribute,##brospinal
fluid barrier barrier,attribute,##inal
end,related to,fluid barrier barrier
titletitle,related to,fluid barrier
immunity,are are,immunity
a a,related to,immunity
brain subsystem,related to,blood
components,related to,blood
bro,related to,brain barrier
bral,related to,text
agents,attribute,immune
system,related to,immune
system system,related to,immune system
infection,related to,immune system
immune,related to,immune system
immune,attribute,adaptive
immune system,related to,immune
end,related to,immune system
immune system,related to,text
background,related to,blood
system agents,related to,background
background,related to,system agents
background,related to,subsystem
background,related to,bacteria
end,related to,cells
background,related to,immune system
response,related to,background
background,related to,response
subsystem,related to,immune system
subsystem,attribute,unable
components,related to,immune system
background,related to,components
end,activity,are
background,related to,##im
how,related to,background
name,attribute,rare
cause,related to,background
title,related to,disease
title,related to,##back
body,attribute,complex
title,related to,complex
germ,attribute,first
idea,related to,theory
##the,related to,background
reference,activity,known
text,known,reference
title,known,reference
##tle,related to,century
name,attribute,earliest
title,related to,immunity
titletitle,related to,immunity
immune,related to,response
immune system background,related to,text
immune system background,attribute,adaptive
end,related to,immune system background
immune system,related to,title
immune system,related to,titletitle
immune system,allows allows,immune system
immune system,activity,allows is
immune system,activity,activated activated
immune system,activity,is does
immune system,activity,activated
immune system,related to,protection
memory,attribute,immunological
pathogens,related to,pathogen
immune system,related to,organisms
antigens,related to,##q
title antibodies,related to,antigens
antigens,related to,title antibodies
title,related to,antigens
antigens,related to,title
imm,related to,antigens
antigens,related to,imm
system,related to,antigens
antigens,related to,system
purpose,related to,antigens
antigens,related to,purpose
difference,related to,antigens
antigens,related to,difference
antigens,related to,cell
antigens,attribute,innate
antigens,related to,immunity
antigens,related to,body
antigens,related to,immune
antigens,attribute,immune
antigens,related to,non
antigens,related to,self substances
self,related to,non
molecules,related to,self
antig,related to,antigen
antigens,related to,antig
antigens,attribute,foreign
antigens,related to,molecules
antigens,related to,text
antigens,attribute,adaptive
antigens,related to,term
non,attribute,adaptive
antigens,related to,self
antigens,related to,self molecules
antigens,related to,antigen
end,related to,self molecules
antigens,attribute,specific
self,related to,self molecules
title self,related to,self molecules
molecules,related to,self molecules
non,related to,self molecules
antigens,related to,the
antigen,related to,self molecules
self,related to,antigen
end,related to,self
molecules,related to,antigens
antigens,are,antigens
self,attribute,foreign
antibodies,related to,self molecules
antigens,related to,type
antigens,related to,types
self molecules,related to,non
term,attribute,what
background,related to,pattern
background,activity,the
background,activity,for
background,related to,theqq
background,related to,defense
background,related to,non
animals animals,attribute,most most
background,related to,animals animals
organisms,attribute,most
organisms organisms,attribute,most
background,related to,organisms organisms
background,related to,nature
thetitle,related to,text
kind,related to,##q
cells,attribute,dominant
defenses,attribute,innate
system,attribute,dominant
organisms organisms,related to,defense
organisms,related to,defense
immunity immunity,related to,organisms
defense,related to,system
immune system system,related to,organisms
end,related to,immune system system
barrier,attribute,mechanical
##ba,related to,lac
##ba,attribute,##to
end,related to,##bacilli
title,related to,lactobacilli
can,related to,title
prob,related to,name
prob,related to,title
reduce,activity,reduce
title,activity,following
title,activity,found
ill,related to,##ba
##bacilli,related to,lac
prob,related to,text
titletitle,related to,lactobacilli
prob,related to,lactobacilli
class,related to,lactobacilli
probens,related to,lactobacilli
prob,related to,background
background,related to,prob
flora,related to,background
background,related to,flora
flora,found,restore
background,related to,lac
background,related to,lactob
background,related to,##ba
background,attribute,##c
background,related to,lactobacilli
end,related to,lactobacilli
comm,related to,lactobacilli
background,related to,comm
pro,related to,lactobacilli
pro,related to,background
##paste balance,attribute,un
background,related to,infection
##baca,related to,lac
##baca,attribute,##to
first,related to,background
background,related to,growth
background,related to,##ic
cytokines,related to,text
title,related to,cytokines
cytokines,related to,##q
cytokines,related to,name
path,related to,phagolysosome
phagolysosome,related to,path
phagolysosome,related to,type
nutrients,activity,acquiring
means,attribute,earliest
defence defense,related to,host
##q,related to,cytokines
isocytes,related to,cytokines
isocytes,called,cytokines
isocytes,represents,cytokines
cytokines,attribute,specific
defence,related to,host
cytokines,related to,defence
cytokines,related to,host defense
text,are,cytokines
##titletitle,related to,text
dorm,related to,acres
acres,attribute,many
neighborhood,related to,name
name,related to,neighborhood
campus,related to,name
name,related to,##title
name,related to,land
acres,related to,##q
background,related to,quad
background,is were,background
background,related to,features
acres,related to,background
acres name land,related to,background
background,related to,acres name land
acres,name,land
acres name land,situated,background
acres name land,located,background
acres name land,situated,acres ha
acres name land,situated,acres
main,related to,background
background,related to,acres
background,related to,land
##q,are,background
background,related to,houses
name,located,title
area,related to,text
river,related to,name
area,related to,river
name,located,bridge
title,related to,##the
title,related to,newspaper
people,name,background
background,related to,people
enrollment,related to,people
students,sponsored,background
people,related to,name
background,related to,team
background,related to,color
people,attribute,many
end,related to,background5
background5,related to,text
union,related to,background
##usa,related to,background
background,composed,title
background,consisting,title
consisting,related to,background
title,related to,consisting
admissions,attribute,early
applicant admission,related to,title
applicant admission rate,related to,title
class,related to,applicant admission rate
class,accepted,end
transfer,attribute,lower
end,related to,transfer
transfer,related to,text
transfer,related to,titletitle
transfer,related to,title
applicants,related to,title
transfer,related to,program
end,related to,applicants
year,related to,applicants
program,attribute,early
admission,attribute,early
admission rein,attribute,early
admission program,attribute,early
admission program program,attribute,early
applicants,related to,background
##tle,activity,started
income,related to,low
background,related to,view
theory,related to,title
helper,related to,t cells
cells,related to,helper
end,related to,helper t cells cells
class,related to,##tle
purpose,following,statements
types,related to,purpose
killer,related to,purpose
b cells,activity,recognize
the,related to,isq
background,related to,helper
helper,related to,background
background,related to,t sub
help,related to,background
antigen,attribute,specific
receptor,activity,complexed
cell,activity,complexed
toxin,related to,name
name,activity,produced
titletitle,related to,helper t cells
receptor cells,kill,t cells
antig m,attribute,specific
end,activity,complexed
mhc,activity,complexed
mhc class class,activity,complexed
mhc class,activity,complexed
they,##q,background
background,activity,complexed
background,related to,art
name,attribute,former
the,attribute,former
background,related to,mineral
background,related to,history
century,related to,background
background,related to,century
name museum,related to,background
background,related to,name museum
background,given,background
mineral,related to,history
background,founded,background
name,activity,is is
name name,given,background
end,related to,history
title,activity,located
title,activity,has
title,activity,established
year,related to,first
university,related to,titletitle
year,related to,university
years,related to,year
year,related to,years
year,name,year
for,related to,year
year,related to,for
year,become ranked,year
year,activity,top
year,become,year
university,activity,become
year,related to,world
year,become,rankings
ranking,related to,title
title,related to,ranking
scale,related to,title
education,activity,does
title,has,title
report,related to,title
title,activity,named
year,pay,year
year,related to,rankings
##q,related to,education
name,related to,report
##q,related to,years
year,related to,was
professional,attribute,professional
ranking ranking,attribute,professional
ranking,attribute,professional
ranking,activity,did
universities,rank,universities
ranking world universities,attribute,professional
world,related to,text
end,related to,backgroundth
background,named,background
title,related to,division
sports,related to,title
rival rival,related to,title
title,related to,rival rival
title,related to,inter
##col,attribute,oldest
title,related to,col
##leg,attribute,oldest continuous
title,related to,##leg
title,related to,##iate
world,title,##tle
division,related to,world
game,related to,world
text,title,##tle
titleq,related to,world
titleq,title,##tle
title,title,##tle
##q,title,##tle
inter,related to,title
competition,related to,title
end,related to,years years
years years,related to,text
years,related to,titletitle
titleq,related to,years
years,related to,titleq
sport,related to,title
has,related to,title
years,related to,has
##col,related to,title
##leg,related to,title
sport,related to,thetitle
sport,attribute,what
title,related to,game
center,related to,text
recreational,related to,name
building,related to,name
facility,related to,building
facility,attribute,primary
swimming,related to,name
background,related to,size
background,related to,swimming
background,related to,swimming swimming
background,related to,malk
##tle,related to,pool
background,related to,pavilion
background,related to,pav
game,related to,title
title,related to,primary
title,related to,men
title,related to,women
title,related to,fencing
title,related to,team
title,related to,field
whotitle,related to,##q
minister,went,end
titletitle,activity,went
state,related to,president
background,states,background
background,related to,office
office,related to,background
background,related to,asq
office,did,background
office,has,background
background,activity,has
background,related to,partytitle
question,related to,title
title,related to,background background
title,activity,know
title,related to,information
information,provided,title
information,provided,answer
information,answer,title
information,answer,background
bey,related to,text
##q,related to,bey
title,related to,12th
counties,related to,title
population population,related to,title
12th,related to,ranking
southeast,related to,ranking
end,related to,ranking
population,related to,ranking
name,activity,known
name,related to,nickname
name,activity,name
name,related to,seat
name,related to,county
name,related to,title du
name,related to,whichtitle
name,related to,population
seat,related to,city
name,related to,titleq
name,related to,population population
county,related to,name
city,related to,population
population,related to,population population
population population,related to,name name
name,related to,prior
name,related to,consolidation
city,related to,titletitle
name,related to,not
population,related to,year
whichtitle,related to,text
what,activity,was
metropolitan,related to,background
area,related to,background
title,related to,gis
bij,related to,title
background,related to,building
background,built,background
building,related to,background
prosperity,attribute,economic
film,related to,title
title,was,film industry
production,related to,film
film,attribute,silent
end,related to,film
film,related to,museum
film,related to,text
##q,was was,background
name title,activity,was
land,related to,river
name,related to,river
water,related to,name
name,related to,a on
river land,related to,name
name,related to,area
water,related to,river
river,contained,##q
river,contained,trout
river,contained,end
thetitle,related to,backgroundq
##q river,related to,background
background,related to,##q river
land,related to,background
background,related to,river
land,attribute,of
name,made,background
name city,related to,name
background,related to,name city
river,surrounds,background
town,related to,river
background,related to,town
title,related to,river
town,attribute,much
land,related to,name
land river,related to,name
background,related to,land river
background,related to,river river
land,attribute,much
surrounds,related to,background
background,related to,surrounds
background,separates,background
name,made,town
river,lies,background
background,related to,within
trout,related to,river
land,attribute,what
town,related to,name
building downtown,related to,building
building downtown,attribute,tallest
building,attribute,tallest
building,related to,downtown
title,related to,skyline
title,related to,bank
title,related to,post
downtown,related to,building
title,related to,downtown
tension,related to,downtown
title,related to,tension
downtown,tensioned,title
downtown,tensioned,structure
downtown,tensioned,structureq
downtown,tensioned,concrete
downtown,tensioned,concrete structure
title,related to,tower
river,related to,world
riverplace,related to,world
title,related to,riverplace
height,related to,title
title,related to,height
title,related to,pre
bank,related to,world
place,related to,world
end,related to,tower
name name,related to,the
the the,related to,##tle
name,related to,the the
pre pre,attribute,tallest
##cast,attribute,tallest pre
post,related to,##cast
tension,related to,##cast
tensionq,related to,##cast
tensiona,related to,##cast
concrete,related to,tension
##cast,tensioned,structure
concrete bank building,activity,tensioned
##tle,tensioned,concrete structure
concrete structure,activity,tensioned
titletitle,tensioned,concrete structure
river,attribute,what
river,title,##tle
end,related to,diversion
diversion,related to,text
percent,related to,diversion
diversion,related to,percent
percentage,related to,diversion
diversion,related to,percentage
diversion,related to,wealth world
assets,attribute,global
wealth,related to,assets
diversion,related to,wealth
diversion,related to,assets
assets,were,diversion
assets,owned,diversion
assets,owned,percent
assets,owned,people
assets,owned,adults
diversion,related to,people
people,related to,adults
percent,related to,text
income income,related to,title
title,related to,income
##ig,related to,title
publication,related to,title
publication,attribute,global
name,become,title
organization,related to,name
title,related to,organization
wealth,activity,inherited
text,inherited,wealth
titletitle,inherited,wealth
name,inherited,wealth
percentage,inherited,wealth
start,related to,text
value,added,labor
value,related to,text
value,related to,title
value,related to,titletitle
value,related to,a a
marginal,attribute,marginal
term,describes,the
term,describes,difference
value,activity,paid
professionals,activity,paid paid
low,attribute,low
workers,activity,paid
professionals professionals,activity,paid
professionals,activity,paid
productivity productivity,activity,earn
wages,related to,text
wages,related to,titletitle
term,attribute,marginal
value,related to,term
wages,related to,##q
wages,attribute,lower
intitle,activity,earn
productivity,activity,earn
productivity gap,activity,earn
productivity gap gap,activity,earn
differences,related to,term
term,describes,differences
difference,related to,term
income,related to,term
end,related to,workers
##title,attribute,economic
background,related to,value
background,activity,##tle
background,related to,function
amount,attribute,large
supply,related to,time
supply,attribute,high
job,related to,supply
supply,competing,job
inequality,related to,text
title,does,inequality
inequality,related to,name
inequality,related to,the
workers workers,attribute,few
inequality,attribute,high
workers,attribute,few
inequality,activity,does
wages wages,attribute,high
end,related to,wages wages
wages wages,related to,text
wages,attribute,high
titletitle,related to,wages
tendency,related to,wages
wages,related to,tendency
wages,related to,jobs
wages,related to,job
job,are,workers workers
job,are,workers
wages,related to,positions
low,related to,positions
wages,related to,high
wages wages,related to,positions
wages,attribute,low
earnings,related to,tendency
wages wages,attribute,lower
entrepreneurship,related to,type
